model_name,feature_count,selected_threshold,accuracy,precision,recall,f1,macro_f1,false_positive_rate,specificity,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,training_seconds,inference_mean_ms,inference_p95_ms,model_size_mb,constant_recall,random_recall,replay_recall,topic_spoof_recall
random_forest,48,0.54,0.9997751545812255,0.9983361064891847,1.0,0.9991673605328892,0.9995186945632993,0.0002599090318388564,0.9997400909681612,1.0,1.0,7693,2,0,1200,1.1885540410876274,5.908122740453109,6.041104102041572,7.941455841064453,1.0,1.0,1.0,1.0
logistic_regression,48,0.59,0.9987633501967398,0.9958298582151793,0.995,0.9954147561483951,0.9973500263751527,0.000649772579597141,0.9993502274204028,0.9998815247996535,0.9995420958878235,7690,5,6,1194,0.028368958039209247,0.04880248103290796,0.05283945938572287,0.0036020278930664062,1.0,0.98,1.0,1.0
