pipeline,pipeline_mode,benchmark_mode,platform_label,configured_message_rate,runs,achieved_message_rate_mean,achieved_message_rate_std,achieved_message_rate_min,achieved_message_rate_max,deadline_misses_mean,deadline_misses_std,deadline_misses_min,deadline_misses_max,deadline_miss_rate_mean,deadline_miss_rate_std,deadline_miss_rate_min,deadline_miss_rate_max,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_min,elapsed_seconds_max,total_latency_mean_ms_mean,total_latency_mean_ms_std,total_latency_mean_ms_min,total_latency_mean_ms_max,total_latency_p95_ms_mean,total_latency_p95_ms_std,total_latency_p95_ms_min,total_latency_p95_ms_max,model_inference_mean_ms_mean,model_inference_mean_ms_std,model_inference_mean_ms_min,model_inference_mean_ms_max,process_cpu_seconds_mean,process_cpu_seconds_std,process_cpu_seconds_min,process_cpu_seconds_max,cpu_time_per_message_ms_mean,cpu_time_per_message_ms_std,cpu_time_per_message_ms_min,cpu_time_per_message_ms_max,cpu_percent_single_core_equivalent_mean,cpu_percent_single_core_equivalent_std,cpu_percent_single_core_equivalent_min,cpu_percent_single_core_equivalent_max,cpu_percent_total_machine_capacity_mean,cpu_percent_total_machine_capacity_std,cpu_percent_total_machine_capacity_min,cpu_percent_total_machine_capacity_max,process_peak_memory_before_mb_mean,process_peak_memory_before_mb_std,process_peak_memory_before_mb_min,process_peak_memory_before_mb_max,process_peak_memory_after_mb_mean,process_peak_memory_after_mb_std,process_peak_memory_after_mb_min,process_peak_memory_after_mb_max,temperature_before_c_mean,temperature_before_c_std,temperature_before_c_min,temperature_before_c_max,temperature_after_c_mean,temperature_after_c_std,temperature_after_c_min,temperature_after_c_max
logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_normal_mqtt_load,6.0,5,5.99997981714869,2.4371396122845023e-06,5.9999770701876285,5.999982035753795,0.0,0.0,0,0,0.0,0.0,0.0,0.0,20.000067276399978,8.123854229523085e-06,20.00005988099997,20.000076433000004,3.072360636663234,0.05872332543219895,3.030306008338357,3.1696534833353476,3.3166490999883536,0.02094111035540518,3.3009033000894306,3.351251599929128,0.7538218483288498,0.01808957210146406,0.735684166657317,0.7819002749954507,0.37068169239999993,0.0070943794206890474,0.3654143849999998,0.3823764270000001,3.0890141033333327,0.05911982850574218,3.045119874999998,3.1864702250000008,1.853402217749825,0.035471133347325996,1.8270660615796,1.9118748284835618,0.46335055443745626,0.008867783336831499,0.4567665153949,0.47796870712089046,153.3375,0.08312147548919252,153.28125,153.484375,153.3375,0.08312147548919252,153.28125,153.484375,50.36,1.07377837564369,48.8,51.6,47.96,0.9235799911215034,47.2,49.4
open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_normal_mqtt_load,6.0,5,5.999981401677966,1.5980837331389568e-06,5.999979698768653,5.999983458645571,0.0,0.0,0,0,0.0,0.0,0.0,0.0,20.00006199460008,5.32697865823705e-06,20.000055138000107,20.000067671000124,39.159073351668965,0.8462068240510867,38.47278244166432,40.35656639166897,45.36301353997714,1.0381956249949325,44.058044249891275,46.61856274997262,37.02808512833978,0.8156504380289402,36.372779158339576,38.18124248334319,4.6996612602,0.10123584678993079,4.617392593,4.842891192999999,39.163843835,0.8436320565827553,38.47827160833333,40.35742660833332,23.49823337144067,0.5061723167842694,23.086891852755524,24.214375046612062,5.874558342860167,0.12654307919606736,5.771722963188881,6.0535937616530155,167.0,0.02706329386826422,166.953125,167.015625,167.0,0.02706329386826422,166.953125,167.015625,51.48,0.9757048734120373,50.5,52.7,48.96,1.6682325976913384,47.2,50.5
random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_normal_mqtt_load,6.0,5,5.999981942154426,6.764767480040076e-07,5.999981001360193,5.999982664850125,0.0,0.0,0,0,0.0,0.0,0.0,0.0,20.000060192999946,2.254936141507185e-06,20.000057783999864,20.000063328999886,35.24391812166224,0.13769844390505342,35.12093369165541,35.46325975832284,40.86672317997227,1.2853654195643263,39.24808929999699,42.290205399979186,33.14959623833754,0.1393352139053276,33.03018674999407,33.374530133346525,4.2300878706,0.016429107021030464,4.215446918,4.256250866,35.250732254999996,0.13690922517525309,35.12872431666666,35.46875721666667,21.15037569377096,0.08214399217486025,21.077169838826475,21.281186944185723,5.28759392344274,0.020535998043715063,5.269292459706619,5.320296736046431,175.73125,0.02037250751625991,175.703125,175.75,175.73125,0.02037250751625991,175.703125,175.75,50.92,0.45497252664309323,50.5,51.6,48.260000000000005,1.2300406497347938,46.6,49.9
