pipeline,pipeline_label,configured_message_rate,traffic_profile,achieved_message_rate_mean_mac,cpu_percent_single_core_equivalent_mean_mac,cpu_percent_single_core_equivalent_std_mac,cpu_time_per_message_ms_mean_mac,total_latency_mean_ms_mean_mac,deadline_misses_mean_mac,process_peak_memory_after_mb_mean_mac,achieved_message_rate_mean_pi,cpu_percent_single_core_equivalent_mean_pi,cpu_percent_single_core_equivalent_std_pi,cpu_time_per_message_ms_mean_pi,total_latency_mean_ms_mean_pi,deadline_misses_mean_pi,process_peak_memory_after_mb_mean_pi,temperature_before_c_mean,temperature_after_c_mean,pi_to_mac_cpu_ratio,pi_to_mac_cpu_time_per_message_ratio,pi_to_mac_latency_ratio
logistic_regression,Logistic Regression,6.0,formal_normal_mqtt_load,5.999028819858219,2.7142065623579965,0.0685339007022001,4.524415,4.475762633762011,0.0,152.346875,5.99997981714869,1.853402217749825,0.0354711333473259,3.0890141033333327,3.072360636663234,0.0,153.3375,50.36,47.96,0.6828523088307846,0.682743316723451,0.686444051676803
random_forest,Random Forest,6.0,formal_normal_mqtt_load,5.998485944614345,13.140462289519116,0.3233544228656513,21.906298333333336,21.92010192278152,0.0,175.8875,5.999981942154426,21.15037569377096,0.0821439921748602,35.250732254999996,35.24391812166224,0.0,175.73125,50.92,48.260000000000005,1.6095610053719787,1.6091596909077668,1.6078355039505223
open_set,Open-set (LR + Isolation Forest),6.0,formal_normal_mqtt_load,5.998575806333068,13.63503958824666,0.6064815081208998,22.730456666666665,22.746765468424805,0.0,167.021875,5.999981401677966,23.49823337144067,0.5061723167842694,39.163843835,39.159073351668965,0.0,167.0,51.48,48.96,1.7233711144994428,1.7229677524443343,1.7215227108234963
