scenario,scenario_type,scenario_label,platform,runs,pi_to_mac_latency_ratio,rows_mean,rows_std,mean_detection_delay_messages_mean,mean_detection_delay_messages_std,active_alert_reduction_percent_mean,active_alert_reduction_percent_std,adaptation_updates_mean,adaptation_updates_std,latency_mean_ms_mean,latency_mean_ms_std,latency_p95_ms_mean,latency_p95_ms_std,latency_p99_ms_mean,latency_p99_ms_std
measurement_drift,measurement,Measurement drift,MacBook,5,2.0416750291442947,1787.4,1.3416407864998674,47.0,0.0,19.23534278959811,5.346028818635635,17.6,0.5477225575051664,15.28530067221126,0.0869240816610944,24.49503450421616,0.0312068517932612,25.2652370063588,0.1531747828488434
measurement_drift,measurement,Measurement drift,Raspberry Pi 5,5,2.0416750291442947,1788.0,0.0,47.2,0.4472135954999576,19.134811626444844,4.4924285259987045,17.8,0.4472135954999578,31.20761669541623,0.1237715355078703,42.00164039009564,0.9968123425380806,47.02422299007537,0.2580124057544669
communication_drift,communication,Communication drift,MacBook,5,2.0560440257967145,1872.0,0.0,4.8,0.4472135954999578,99.1389702140596,0.1124241975639508,69.0,0.0,15.294941900443268,0.0943890992768625,24.5841890014708,0.1324159037998576,25.427955032791942,0.1823967684391876
communication_drift,communication,Communication drift,Raspberry Pi 5,5,2.0560440257967145,1874.4,1.3416407864998674,5.0,0.0,99.10913140311804,0.0,69.0,0.0,31.44707391931423,0.1919112822395168,46.73008229025072,0.2595198087141749,47.0503720380093,0.3139624804702741
