run_id,pipeline,pipeline_mode,benchmark_mode,platform_label,system,machine,python_version,logical_cpu_count,input_file,configured_message_rate,duration_seconds,target_messages,measured_messages,achieved_message_rate,warmup_messages_total,warmup_device_counts,failed_messages,deadline_misses,deadline_miss_rate,elapsed_seconds,total_latency_mean_ms,total_latency_p95_ms,model_inference_mean_ms,process_peak_memory_before_mb,process_peak_memory_after_mb,temperature_before_c,temperature_after_c,throttled_before,throttled_after,process_cpu_seconds,cpu_time_per_message_ms,cpu_percent_single_core_equivalent,cpu_percent_total_machine_capacity
1,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.99992646021642,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000058831999922,2.9177874620090734,3.251967949927348,0.7071137360344437,153.3125,153.3125,55.4,52.7,0x0,0x0,1.4669282430000001,2.9338564860000003,7.334619639482898,1.8336549098707244
2,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.999921843993796,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00006252500043,2.87356570799966,3.2454925496949727,0.6943004499862582,153.3125,153.3125,59.3,55.4,0x0,0x0,1.445144711,2.890289422,7.2257009656522,1.80642524141305
3,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.999925255223808,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000059795999732,2.899452547997498,3.241702850755246,0.6988133339928027,153.328125,153.328125,58.2,54.9,0x0,0x0,1.4577031569999999,2.9154063139999997,7.288493993860754,1.8221234984651884
4,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.999921005249412,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000063196000156,2.871744257998216,3.2416178005860274,0.6911132340064796,153.296875,153.296875,59.8,57.6,0x0,0x0,1.44396865,2.8879373,7.219820436811328,1.804955109202832
5,logistic_regression,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.999925153973777,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00005987700024,2.885652804019628,3.224967149844815,0.6938455040253757,153.3125,153.3125,60.4,56.0,0x0,0x0,1.4506762850000001,2.9013525700000002,7.253359709528947,1.8133399273822368
1,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.9999910759265167,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000059494000197,40.63541323331871,47.116984450349264,38.46823690005294,167.0,167.0,54.9,52.7,0x0,0x0,2.4381582700000006,40.63597116666668,12.190755086160728,3.047688771540182
2,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.9999908927777126,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000060714999563,40.89908433334131,47.063834099162705,38.672931400060406,167.015625,167.015625,57.1,54.3,0x0,0x0,2.4541126029999996,40.90187671666666,12.270525764751676,3.067631441187919
3,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.9999910042268847,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.0000599720006,40.31763553334713,46.94378325002617,38.10167616667665,167.015625,167.015625,58.7,54.9,0x0,0x0,2.419345476,40.322424600000005,12.096691106861686,3.0241727767154214
4,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.999990303131301,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000064646000283,42.269726883296244,48.89049609964786,40.01218683338266,167.015625,167.015625,59.3,57.1,0x0,0x0,2.536377622,42.27296036666666,12.681847118465377,3.1704617796163443
5,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.999990817028089,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000061220000134,41.17458915000801,47.40716195010464,38.95157890002944,166.984375,166.984375,62.0,56.5,0x0,0x0,2.470915046,41.18191743333333,12.354537412760896,3.088634353190224
1,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.999970025590107,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00005994899948,36.226428109953304,39.44316220049586,34.20267182000771,167.015625,167.015625,55.4,53.8,0x0,0x0,7.244765332999999,36.22382666499999,36.22371808621717,9.055929521554292
2,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.99997081608503,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000058368000282,36.49775829000646,39.778048900552676,34.498075444980714,167.015625,167.015625,57.6,56.0,0x0,0x0,7.29827936,36.4913968,36.49129030381786,9.122822575954466
3,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.99997025658856,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000059486999817,36.16218105501048,39.41004014950522,34.153584784994564,167.015625,167.015625,58.7,57.1,0x0,0x0,7.232743504000001,36.163717520000006,36.16360995676706,9.040902489191765
4,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.999960339657216,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000079321000158,36.10706653501893,39.29072939990874,34.115514649988654,167.015625,167.015625,59.8,57.1,0x0,0x0,7.220572540999999,36.10286270499999,36.102719519808964,9.025679879952241
5,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.99996043565635,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00007912900037,36.08266264001486,39.2974503498408,34.06890877000933,167.0,167.0,59.3,57.1,0x0,0x0,7.216165887000001,36.080829435000005,36.08068668356651,9.020171670891628
1,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.999928278956514,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000057376999393,30.05124603799777,30.262497600324423,28.401640839980246,167.0,167.0,57.6,56.5,0x0,0x0,15.033280439000002,30.066560878000004,75.166186554488,18.791546638622
2,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.999926745215145,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000058603999605,29.819019047983602,30.044006449679728,28.17562127597921,167.015625,167.015625,58.2,59.3,0x0,0x0,14.916172809999999,29.832345619999998,74.58064551379398,18.645161378448496
