pipeline,pipeline_label,configured_message_rate,traffic_profile,achieved_message_rate_mean_mac,cpu_percent_single_core_equivalent_mean_mac,cpu_percent_single_core_equivalent_std_mac,cpu_time_per_message_ms_mean_mac,total_latency_mean_ms_mean_mac,deadline_misses_mean_mac,process_peak_memory_after_mb_mean_mac,achieved_message_rate_mean_pi,cpu_percent_single_core_equivalent_mean_pi,cpu_percent_single_core_equivalent_std_pi,cpu_time_per_message_ms_mean_pi,total_latency_mean_ms_mean_pi,deadline_misses_mean_pi,process_peak_memory_after_mb_mean_pi,temperature_before_c_mean,temperature_after_c_mean,pi_to_mac_cpu_ratio,pi_to_mac_cpu_time_per_message_ratio,pi_to_mac_latency_ratio
logistic_regression,Logistic Regression,3.0,controlled_rate_sweep,2.9992608914858385,1.177306304415529,0.1098397714969388,3.9253533333333337,3.926816820167005,0.0,151.521875,2.9999909732372148,0.923772033699789,0.0067533814997728,3.0792493766666675,3.0635536300148187,0.0,153.3125,57.279999999999994,54.64,0.7846488464685437,0.7844515168910486,0.7801620931949985
logistic_regression,Logistic Regression,6.0,formal_normal_mqtt_load,5.999028819858219,2.7142065623579965,0.0685339007022001,4.524415,4.475762633762011,0.0,152.346875,5.99997981714869,1.853402217749825,0.0354711333473259,3.0890141033333327,3.072360636663234,0.0,153.3375,50.36,47.96,0.6828523088307846,0.682743316723451,0.686444051676803
logistic_regression,Logistic Regression,10.0,controlled_rate_sweep,9.997799463640307,3.8257266642063454,0.0640866808856842,3.82657,3.816016293130815,0.0,151.375,9.999969884290644,3.0428815939896157,0.0096525758797252,3.0428907579999995,3.0260842420138943,0.0,153.3125,57.52,54.879999999999995,0.7953734966114908,0.7952005994924958,0.7929956293585874
logistic_regression,Logistic Regression,25.0,controlled_rate_sweep,24.99151446203341,9.215330520591008,0.6014461465370795,3.6874044,3.6795808391645553,0.0,151.38125,24.99992394373144,7.264398949067226,0.0477445259453321,2.9057684184,2.889640556004815,0.0,153.3125,58.620000000000005,55.32000000000001,0.7882949974323152,0.7880254247133838,0.7853178615477584
random_forest,Random Forest,3.0,controlled_rate_sweep,2.9990270828632593,6.951163323439483,0.2165859762512628,23.178019999999997,23.275750698521733,0.0,175.115625,2.9999905946398697,11.13890490590191,0.0444349175835792,37.12979940333334,37.1260000300299,0.0,175.728125,57.620000000000005,55.52,1.6024519044663021,1.6019400882100086,1.5950505962580106
random_forest,Random Forest,6.0,formal_normal_mqtt_load,5.998485944614345,13.140462289519116,0.3233544228656513,21.906298333333336,21.92010192278152,0.0,175.8875,5.999981942154426,21.15037569377096,0.0821439921748602,35.250732254999996,35.24391812166224,0.0,175.73125,50.92,48.260000000000005,1.6095610053719787,1.6091596909077668,1.6078355039505223
random_forest,Random Forest,10.0,controlled_rate_sweep,9.996837480908995,20.268858109700727,1.420928392722161,20.275299,20.327139583416283,0.0,175.025,9.999970645686195,33.735089498151225,0.4027894659746072,33.735188519000005,33.72802830700857,0.0,175.728125,58.379999999999995,56.739999999999995,1.6643803669435886,1.6638565240887448,1.6592609190584438
random_forest,Random Forest,25.0,controlled_rate_sweep,24.995084525911352,30.137325620816767,0.6572643608855989,12.0572928,12.034949839487671,0.0,174.678125,24.999927819208473,68.62553423606563,1.320126072071499,27.4502929524,27.43693057641249,0.0,175.728125,58.16,58.42,2.2770943613080217,2.2766547522508533,2.2797710785955783
open_set,Open-set (LR + Isolation Forest),3.0,controlled_rate_sweep,2.9992232556571543,7.345099365373682,0.1670942779177208,24.489996666666663,24.579089173736673,0.0,165.978125,2.999990818618101,12.318871297800072,0.2242423965489242,41.06303005666667,41.05928982666228,0.0,167.00625,58.4,55.1,1.677155159516804,1.6767266494796043,1.6704968006111098
open_set,Open-set (LR + Isolation Forest),6.0,formal_normal_mqtt_load,5.998575806333068,13.63503958824666,0.6064815081208998,22.730456666666665,22.746765468424805,0.0,167.021875,5.999981401677966,23.49823337144067,0.5061723167842694,39.163843835,39.159073351668965,0.0,167.0,51.48,48.96,1.7233711144994428,1.7229677524443343,1.7215227108234963
open_set,Open-set (LR + Isolation Forest),10.0,controlled_rate_sweep,9.996472243310723,20.316817167728697,1.1987971416769514,20.324042,20.36362050846219,0.0,165.796875,9.999966374715452,36.21240491003552,0.1655797196958405,36.212526624999995,36.215219326000806,0.0,167.0125,58.16,56.220000000000006,1.782385725632036,1.7817581082050509,1.7784273337323004
open_set,Open-set (LR + Isolation Forest),25.0,controlled_rate_sweep,24.9945988943782,31.228111671873943,0.3486805546139316,12.493936,12.472155898436904,0.0,165.1375,24.999926994463685,75.1958607815153,0.9149517150762392,30.078432147199997,30.063580413204544,0.0,167.009375,59.279999999999994,59.279999999999994,2.4079541398989406,2.407442470267176,2.4104557911252793
