scenario_type,runs,rows_mean,rows_std,rows_min,rows_max,active_drift_rows_mean,active_drift_rows_std,active_drift_rows_min,active_drift_rows_max,recovery_rows_mean,recovery_rows_std,recovery_rows_min,recovery_rows_max,mean_detection_delay_messages_mean,mean_detection_delay_messages_std,mean_detection_delay_messages_min,mean_detection_delay_messages_max,active_alert_reduction_percent_mean,active_alert_reduction_percent_std,active_alert_reduction_percent_min,active_alert_reduction_percent_max,adaptation_updates_mean,adaptation_updates_std,adaptation_updates_min,adaptation_updates_max,latency_mean_ms_mean,latency_mean_ms_std,latency_mean_ms_min,latency_mean_ms_max,latency_p95_ms_mean,latency_p95_ms_std,latency_p95_ms_min,latency_p95_ms_max,latency_p99_ms_mean,latency_p99_ms_std,latency_p99_ms_min,latency_p99_ms_max
communication,5,1874.4,1.3416407864998674,1872,1875,1350.0,0.0,1350,1350,74.4,1.3416407864998734,72,75,5.0,0.0,5.0,5.0,99.10913140311804,0.0,99.10913140311804,99.10913140311804,69.0,0.0,69,69,31.44707391931423,0.1919112822395168,31.182866672533052,31.708966149880144,46.73008229025072,0.2595198087141749,46.42292379999162,47.1348464001494,47.0503720380093,0.31396248047027414,46.65440934005347,47.495458380271884
measurement,5,1788.0,0.0,1788,1788,300.0,0.0,300,300,146.0,0.0,146,146,47.2,0.44721359549995765,47.0,48.0,19.134811626444844,4.4924285259987045,12.5,24.193548387096776,17.8,0.44721359549995787,17,18,31.20761669541623,0.12377153550787033,31.04062801510149,31.3508663987705,42.00164039009564,0.9968123425380806,41.353945100104276,43.757656650291196,47.02422299007537,0.25801240575446693,46.69584220010165,47.328624070173646
