experiment_name,feature_groups,feature_count,runs,selected_threshold_mean,selected_threshold_std,selected_threshold_min,selected_threshold_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_min,false_positive_rate_max,specificity_mean,specificity_std,specificity_min,specificity_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,true_negative_mean,true_negative_std,true_negative_min,true_negative_max,false_positive_mean,false_positive_std,false_positive_min,false_positive_max,false_negative_mean,false_negative_std,false_negative_min,false_negative_max,true_positive_mean,true_positive_std,true_positive_min,true_positive_max,constant_recall_mean,constant_recall_std,constant_recall_min,constant_recall_max,random_recall_mean,random_recall_std,random_recall_min,random_recall_max,replay_recall_mean,replay_recall_std,replay_recall_min,replay_recall_max,topic_spoof_recall_mean,topic_spoof_recall_std,topic_spoof_recall_min,topic_spoof_recall_max
all_views,value+temporal+protocol,48,5,0.6100000000000001,0.2852192139390332,0.19,0.89,0.998673623917373,0.00028020647204881233,0.9982012366498032,0.9988769092542678,0.9937045448081989,0.0038025145052175023,0.9884488448844884,0.9991596638655462,0.9964999999999999,0.0032489314482696445,0.9908333333333332,0.9983333333333332,0.9950910834108923,0.0010282787708518798,0.9933665008291874,0.9958437240232751,0.9971621516043665,0.0005952309447266772,0.9961630267184044,0.9975972288471135,0.00098739138655376,0.0005996986172292371,0.0001299545159194,0.0018193632228719,0.9990126086134461,0.0005996986172292127,0.998180636777128,0.9998700454840804,0.9997613931115445,0.00022119511509115315,0.9994064030866606,0.9999845318449292,0.9992939041433575,0.0005090088154057065,0.9985530710488107,0.9998981573586774,7689.2,7.12039324756713,7681,7696,7.6,4.61519230368573,1,14,4.2,3.8987177379235853,2,11,1195.8,3.898717737923586,1189,1198,1.0,0.0,1.0,1.0,0.986,0.012995725793078537,0.9633333333333334,0.9933333333333332,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
value_protocol,value+protocol,39,5,0.764,0.19411336893681486,0.43,0.92,0.9866070753064229,0.013087754887926824,0.9636118598382748,0.9946037099494098,0.9694487577623135,0.021910738454880962,0.9349722442505948,0.9906063193851408,0.9308333333333334,0.10219806477837265,0.7483333333333333,0.9825,0.9469676741663571,0.056451884207990896,0.8471698113207548,0.979933110367893,0.9696488234117451,0.03192196818814002,0.9132585415604284,0.9884079112042088,0.00470295793875704,0.0037260855973827484,0.0014294996751137,0.01064796779639,0.9952970420612429,0.003726085597382741,0.98935203220361,0.9985705003248864,0.9976209360032045,0.0014203346624526614,0.9955400874004844,0.9990620532813514,0.9908545242896023,0.004587497167301172,0.98328418698814,0.995280858921966,7660.6,28.518415103227575,7619,7684,36.2,28.691462144686877,11,82,83.0,122.63767773404713,21,302,1117.0,122.63767773404713,898,1179,0.9986666666666666,0.002981423969999799,0.9933333333333332,1.0,0.9733333333333333,0.025276251480171794,0.93,0.9933333333333332,0.7513333333333334,0.4200370354041547,0.0,0.9466666666666668,1.0,0.0,1.0,1.0
temporal_protocol,temporal+protocol,19,5,0.5,0.0,0.5,0.5,0.9660326842329837,0.00013654307244224045,0.9658004274946564,0.9661607644744238,0.9993333333333332,0.0009938079899999045,0.9977777777777778,1.0,0.7486666666666666,0.00045643546458764054,0.7483333333333333,0.7491666666666666,0.8560267439920841,0.0004942070469994358,0.8552380952380952,0.8565983801810386,0.918385839806696,0.00028537304063888603,0.9179239334463216,0.9187077045255456,7.80132728028e-05,0.00011631422533380578,0.0,0.0002601118480946,0.9999219867271971,0.00011631422533392198,0.9997398881519052,1.0,0.9128621650666847,0.006694910530567513,0.9032590930766896,0.9198582412822178,0.8364119814658219,0.0054503205482932535,0.8289740969478793,0.8432735764371438,7696.2,6.610597552415324,7687,7704,0.6,0.8944271909999159,0,2,301.6,0.54772255750517,301,302,898.4,0.5477225575051505,898,899,0.9946666666666666,0.0018257418583507252,0.9933333333333332,0.9966666666666668,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
value_temporal,value+temporal,38,5,0.782,0.06180614856144975,0.7000000000000001,0.86,0.9639194246189893,0.0005928641604156588,0.9629879626504668,0.9645868465430016,0.9824408102576149,0.003171827672932879,0.9780461031833152,0.9857299670691548,0.7458333333333333,0.0025685058345703378,0.7425,0.7483333333333333,0.8479389271774981,0.0024625131307445106,0.8441496920890573,0.8507816200852677,0.9137351329131237,0.0013992463954603895,0.9115750694440308,0.9153455265424106,0.00207884784923126,0.00037935325686503366,0.0016894087069525,0.0026011184809468,0.9979211521507686,0.0003793532568649972,0.9973988815190532,0.9983105912930474,0.9221167215335189,0.005586505602892662,0.9160917111024408,0.929147196261682,0.8553987762766168,0.004240848388198357,0.8500679620384012,0.8597408093476105,7680.8,7.190271204899067,7669,7687,16.0,2.9154759474226504,13,20,305.0,3.082207001484488,302,309,895.0,3.082207001484488,891,898,0.9986666666666668,0.0018257418583504767,0.9966666666666668,1.0,0.9846666666666668,0.011205157542647734,0.97,0.9966666666666668,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
value_only,value,29,5,0.842,0.03633180424916986,0.81,0.89,0.9518522545593406,0.013593434628274356,0.9276729559748428,0.9602291877317156,0.9505254917585401,0.011264765507055964,0.9371069182389936,0.9658590308370044,0.6776666666666666,0.10145709273711069,0.4966666666666666,0.7308333333333333,0.7878161794014177,0.07771593692771232,0.6492374727668845,0.8320683111954459,0.8803226282143364,0.04255398550089696,0.8044584558925832,0.9047559601090012,0.00540529994628598,0.001044930301294829,0.0040254512400986,0.0066328521264143,0.9945947000537139,0.0010449303012947842,0.9933671478735856,0.9959745487599012,0.890242500031728,0.012635105753753482,0.8771002815681179,0.9110382850712028,0.8088150802824323,0.015307913300905689,0.7967183827050368,0.8330214438062242,7655.2,12.872451204024713,7638,7670,41.6,8.018728078691781,31,51,386.8,121.74851128453277,323,604,813.2,121.74851128453274,596,877,0.9973333333333333,0.003651483716701202,0.9933333333333332,1.0,0.9646666666666667,0.030965931099982972,0.9166666666666666,0.9866666666666668,0.748,0.41814803333003703,0.0,0.9366666666666666,0.00066666666666666,0.001490711984999845,0.0,0.0033333333333333
temporal_only,temporal,9,5,0.5900000000000001,0.029154759474226487,0.55,0.62,0.932290183648614,0.00020081874724828147,0.9319383507706154,0.932433951658235,0.9990016638935109,0.002232347398502321,0.995008319467554,1.0,0.49849999999999994,0.00037267799624995105,0.4983333333333333,0.4991666666666666,0.6651103279137948,0.000661711440716077,0.6640755136035535,0.6659255141745414,0.813724014797879,0.00038535175933624566,0.8131042899431675,0.8141709366882963,7.80335544284e-05,0.00017448833222783215,0.0,0.000390167772142,0.9999219664455715,0.0001744883322278197,0.999609832227858,1.0,0.8107282258033234,0.01764010441360726,0.7856110460831491,0.8308489096573208,0.6603220795427289,0.01433343880516078,0.6414937220403949,0.6771079956260668,7696.2,6.906518659932761,7686,7704,0.6,1.3416407864998738,0,3,601.8,0.4472135954999611,601,602,598.2,0.4472135954999611,598,599,0.994,0.0014907119849999872,0.9933333333333332,0.9966666666666668,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
protocol_only,protocol,10,5,0.62,0.022360679774997862,0.5800000000000001,0.63,0.9242191857289639,0.001997874840049038,0.9218134773315334,0.9265498652291104,0.9031368405400553,0.02694806499292683,0.8675400291120815,0.9273301737756714,0.4913333333333333,0.0056396414385628466,0.4825,0.4966666666666666,0.6362690995140187,0.0059589873128500686,0.6310626702997275,0.6445652173913043,0.7969858830102154,0.003507016480985678,0.793977533152871,0.8018041517818245,0.00829038267173904,0.0026291297542249963,0.0059779077322936,0.0118350890883079,0.9917096173282609,0.0026291297542250136,0.988164910911692,0.9940220922677064,0.6675035700851047,0.05244827895333588,0.6085171106779294,0.7088380586985736,0.5770055560786128,0.0077955361957228325,0.5678586384630706,0.5843234636824594,7633.0,24.949949899749257,7598,7657,63.8,20.19158240455661,46,91,610.4,6.767569726275445,604,621,589.6,6.767569726275445,579,596,0.9646666666666668,0.02387467277262673,0.9266666666666666,0.9866666666666668,0.00066666666666666,0.001490711984999845,0.0,0.0033333333333333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
