fold,seed,experiment_name,feature_groups,feature_count,selected_threshold,accuracy,precision,recall,f1,macro_f1,false_positive_rate,specificity,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,constant_recall,random_recall,replay_recall,topic_spoof_recall
1,42,all_views,value+temporal+protocol,48,0.46,0.9988765307268846,0.9933665008291874,0.9983333333333332,0.9958437240232751,0.9975971023337992,0.001038826126477,0.9989611738735228,0.9997740553174912,0.9991542771857226,7693,8,2,1198,1.0,0.9933333333333332,1.0,1.0
1,42,value_protocol,value+protocol,39,0.43,0.9884282664869116,0.9349722442505948,0.9825,0.9581470946769606,0.9757165301948784,0.01064796779639,0.98935203220361,0.9986724667792062,0.9929735376177384,7619,82,21,1179,1.0,0.9833333333333332,0.9466666666666668,1.0
1,42,temporal_protocol,temporal+protocol,19,0.5,0.9660712279519156,1.0,0.7483333333333333,0.8560533841754051,0.918411307472318,0.0,1.0,0.9122984028048304,0.8362334968517848,7701,0,302,898,0.9933333333333332,0.0,1.0,1.0
1,42,value_temporal,value+temporal,38,0.8200000000000001,0.9641613301876194,0.9845984598459846,0.7458333333333333,0.8487434803224277,0.9142079728764372,0.0018179457213348,0.9981820542786652,0.9263940830195212,0.8597408093476105,7687,14,305,895,0.9966666666666668,0.9866666666666668,1.0,0.0
1,42,value_only,value,29,0.81,0.9602291877317156,0.9658590308370044,0.7308333333333333,0.8320683111954459,0.9047559601090012,0.0040254512400986,0.9959745487599012,0.9110382850712028,0.8330214438062242,7670,31,323,877,1.0,0.9866666666666668,0.9366666666666666,0.0
1,42,temporal_only,temporal,9,0.55,0.932367149758454,1.0,0.4983333333333333,0.6651835372636262,0.8137839705813257,0.0,1.0,0.81695082889668,0.6684856602235485,7701,0,602,598,0.9933333333333332,0.0,1.0,0.0
1,42,protocol_only,protocol,10,0.63,0.9239411302100888,0.9118110236220472,0.4825,0.6310626702997275,0.7943313602015328,0.0072717828853395,0.9927282171146604,0.7036250703371857,0.5843234636824594,7645,56,621,579,0.9266666666666666,0.0033333333333333,0.0,1.0
2,43,all_views,value+temporal+protocol,48,0.7000000000000001,0.9988769092542678,0.9933665008291874,0.9983333333333332,0.9958437240232751,0.9975972288471135,0.0010384215991692,0.9989615784008308,0.9999845318449292,0.9998981573586774,7696,8,2,1198,1.0,0.9933333333333332,1.0,1.0
2,43,temporal_protocol,temporal+protocol,19,0.5,0.966082659478886,1.0,0.7483333333333333,0.8560533841754051,0.9184149798025338,0.0,1.0,0.9184959112149532,0.8396269437336676,7704,0,302,898,0.9933333333333332,0.0,1.0,1.0
2,43,value_temporal,value+temporal,38,0.75,0.964061096136568,0.980349344978166,0.7483333333333333,0.8487712665406427,0.9141893549119222,0.0023364485981308,0.9976635514018692,0.929147196261682,0.8597300906635876,7686,18,302,898,0.9966666666666668,0.9966666666666668,1.0,0.0
2,43,value_protocol,value+protocol,39,0.85,0.9636118598382748,0.9760869565217392,0.7483333333333333,0.8471698113207548,0.9132585415604284,0.0028556593977154,0.9971443406022844,0.9955400874004844,0.98328418698814,7682,22,302,898,1.0,0.9933333333333332,0.0,1.0
2,43,temporal_only,temporal,9,0.5700000000000001,0.9323899371069182,1.0,0.4983333333333333,0.6651835372636262,0.8137910191002704,0.0,1.0,0.8308489096573208,0.6771079956260668,7704,0,602,598,0.9933333333333332,0.0,1.0,0.0
2,43,value_only,value,29,0.87,0.9276729559748428,0.9371069182389936,0.4966666666666666,0.6492374727668845,0.8044584558925832,0.0051921079958463,0.9948078920041536,0.8862875346140534,0.7967183827050368,7664,40,604,596,1.0,0.9866666666666668,0.0,0.0
2,43,protocol_only,protocol,10,0.63,0.9265498652291104,0.9265625,0.4941666666666666,0.6445652173913043,0.8018041517818245,0.0061007268951194,0.9938992731048806,0.6116854339736933,0.5692641520030399,7657,47,607,593,0.9766666666666668,0.0,0.0,1.0
3,44,all_views,value+temporal+protocol,48,0.19,0.9982012366498032,0.9884488448844884,0.9983333333333332,0.9933665008291874,0.9961630267184044,0.0018193632228719,0.998180636777128,0.9997414988087504,0.9992520582928544,7681,14,2,1198,1.0,0.9933333333333332,1.0,1.0
3,44,value_protocol,value+protocol,39,0.85,0.9946037099494098,0.9832214765100672,0.9766666666666668,0.979933110367893,0.9884079112042088,0.0025990903183885,0.9974009096816114,0.9990620532813514,0.995280858921966,7675,20,28,1172,0.9933333333333332,0.9733333333333334,0.94,1.0
3,44,temporal_protocol,temporal+protocol,19,0.5,0.9661607644744238,1.0,0.7491666666666666,0.8565983801810386,0.9187077045255456,0.0,1.0,0.9103991769547326,0.8339517933586338,7695,0,301,899,0.9966666666666668,0.0,1.0,1.0
3,44,value_temporal,value+temporal,38,0.7000000000000001,0.9645868465430016,0.9857299670691548,0.7483333333333333,0.8507816200852677,0.9153455265424106,0.0016894087069525,0.9983105912930474,0.9176235650855532,0.8533263861861093,7682,13,302,898,1.0,0.9933333333333332,1.0,0.0
3,44,value_only,value,29,0.81,0.9579539066891511,0.9479392624728852,0.7283333333333334,0.823751178133836,0.899940434611978,0.0062378167641325,0.9937621832358674,0.8907298029023175,0.8148466495403341,7647,48,326,874,0.9933333333333332,0.9833333333333332,0.9333333333333332,0.0033333333333333
3,44,temporal_only,temporal,9,0.61,0.9323215289488476,1.0,0.4983333333333333,0.6651835372636262,0.8137698576763354,0.0,1.0,0.8009090318388563,0.6501855780131546,7695,0,602,598,0.9933333333333332,0.0,1.0,0.0
3,44,protocol_only,protocol,10,0.63,0.9228780213603148,0.8824404761904762,0.4941666666666666,0.6335470085470085,0.7952255711160724,0.0102664067576348,0.9897335932423652,0.7048521767381416,0.5820533605224222,7616,79,607,593,0.9766666666666668,0.0,0.0,1.0
4,45,all_views,value+temporal+protocol,48,0.81,0.9986509274873524,0.9991596638655462,0.9908333333333332,0.994979079497908,0.9970999293593436,0.0001299545159194,0.9998700454840804,0.9999004764998916,0.9996119568307223,7694,1,11,1189,1.0,0.9633333333333334,1.0,1.0
4,45,value_protocol,value+protocol,39,0.92,0.994266441821248,0.9906063193851408,0.9666666666666668,0.9784900885702236,0.98759124053649,0.0014294996751137,0.9985705003248864,0.9979009096816114,0.9924306346907518,7684,11,40,1160,1.0,0.93,0.9366666666666666,1.0
4,45,temporal_protocol,temporal+protocol,19,0.5,0.9660483417650364,0.9988888888888888,0.7491666666666666,0.8561904761904762,0.9184712737867612,0.0001299545159194,0.9998700454840804,0.9198582412822178,0.8432735764371438,7694,1,301,899,0.9966666666666668,0.0,1.0,1.0
4,45,value_temporal,value+temporal,38,0.78,0.9637998875772906,0.9834801762114538,0.7441666666666666,0.8472485768500949,0.9133577407908172,0.0019493177387914,0.9980506822612084,0.9213270521983972,0.8541286331473754,7680,15,307,893,1.0,0.9766666666666668,1.0,0.0
4,45,value_only,value,29,0.89,0.9568296795952782,0.9573991031390134,0.7116666666666667,0.8164435946462715,0.8959909398890678,0.0049382716049382,0.9950617283950616,0.8771002815681179,0.8011795020709546,7657,38,346,854,0.9933333333333332,0.9166666666666666,0.9366666666666666,0.0
4,45,temporal_only,temporal,9,0.62,0.932433951658235,1.0,0.4991666666666666,0.6659255141745414,0.8141709366882963,0.0,1.0,0.8193213125406108,0.6643374418104802,7695,0,601,599,0.9966666666666668,0.0,1.0,0.0
4,45,protocol_only,protocol,10,0.63,0.9259134345137716,0.9273301737756714,0.4891666666666667,0.640480087288598,0.7995907987987767,0.0059779077322936,0.9940220922677064,0.6085171106779294,0.5678586384630706,7649,46,613,587,0.9566666666666668,0.0,0.0,1.0
5,46,all_views,value+temporal+protocol,48,0.89,0.9987625154685568,0.9941812136325852,0.9966666666666668,0.9954223886808156,0.997353470763172,0.0009103914683313,0.9990896085316686,0.9994064030866606,0.9985530710488107,7682,7,4,1196,1.0,0.9866666666666668,1.0,1.0
5,46,value_protocol,value+protocol,39,0.77,0.9921250984362696,0.962356792144026,0.98,0.9710982658959536,0.9832698935627202,0.0059825725061776,0.9940174274938224,0.9969291628733687,0.9903034032294156,7643,46,24,1176,1.0,0.9866666666666668,0.9333333333333332,1.0
5,46,temporal_protocol,temporal+protocol,19,0.5,0.9658004274946564,0.9977777777777778,0.7483333333333333,0.8552380952380952,0.9179239334463216,0.0002601118480946,0.9997398881519052,0.9032590930766896,0.8289740969478793,7687,2,302,898,0.9933333333333332,0.0,1.0,1.0
5,46,value_temporal,value+temporal,38,0.86,0.9629879626504668,0.9780461031833152,0.7425,0.8441496920890573,0.9115750694440308,0.0026011184809468,0.9973988815190532,0.9160917111024408,0.8500679620384012,7669,20,309,891,1.0,0.97,1.0,0.0
5,46,value_only,value,29,0.8300000000000001,0.9565755428057148,0.9443231441048034,0.7208333333333333,0.8175803402646503,0.896467350569051,0.0066328521264143,0.9933671478735856,0.8860565960029481,0.7983094232896121,7638,51,335,865,1.0,0.95,0.9333333333333332,0.0
